reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
-0.12,269.957763671875,17,41.19077682495117,32,"[4, 4, 2, 6, 2]","[3, 4, 2, 2, 3]",6,3,4,89
0.3,141.70616149902344,18,43.6093635559082,28,"[4, 3, 1, 3, 5]","[0, 4, 4, 1, 3]",8,4,4,90
0.3975,206.7396240234375,15,57.0424690246582,37,"[6, 5, 3, 4, 3]","[5, 2, 3, 5, 1]",0,0,3,91
-0.06883240178227425,353.48541259765625,22,41.85974884033203,36,"[4, 3, 3, 6, 6]","[2, 4, 5, 1, 2]",8,4,4,92
-0.285,91.81782531738281,19,41.31572723388672,36,"[5, 3, 4, 2, 8]","[1, 3, 3, 3, 4]",8,4,4,93
0.435,260.4847412109375,18,49.07653045654297,30,"[2, 4, 2, 3, 2]","[2, 4, 4, 3, 4]",5,2,4,94
0.12072997644543648,135.2450408935547,23,40.939369201660156,35,"[3, 5, 3, 6, 3]","[2, 0, 4, 5, 4]",6,3,3,95
-1.17,180.17514038085938,22,43.799224853515625,32,"[4, 4, 6, 5, 5]","[0, 3, 1, 2, 2]",4,2,4,96
-0.19,112.81352233886719,20,38.9023323059082,32,"[4, 5, 2, 5, 2]","[4, 4, 3, 2, 1]",6,3,4,97
-1.4112315207719803,85.01417541503906,11,41.82149124145508,32,"[2, 6, 1, 4, 3]","[3, 3, 1, 3, 6]",9,4,3,98
-0.48,96.79498291015625,21,42.07936477661133,33,"[4, 1, 4, 5, 4]","[1, 3, 6, 4, 1]",5,2,1,99
-1.253253072798252,156.45806884765625,24,42.81613540649414,43,"[6, 2, 6, 8, 1]","[2, 2, 5, 3, 8]",6,3,4,100
-0.215,263.59228515625,12,46.15900421142578,37,"[4, 2, 5, 10, 5]","[5, 2, 1, 3, 0]",6,3,4,101
0.058077707290649414,60.572811126708984,21,40.02779769897461,35,"[1, 5, 3, 1, 4]","[6, 4, 4, 2, 5]",1,0,4,102
0.330154363065958,97.88758087158203,20,33.296897888183594,33,"[1, 4, 1, 3, 5]","[2, 7, 3, 3, 4]",3,1,2,103
0.0825,63.98341751098633,22,31.185504913330078,35,"[3, 6, 3, 2, 3]","[4, 4, 4, 4, 2]",2,1,3,104
1.49,645.6624145507812,27,41.27783203125,41,"[3, 3, 3, 2, 3]","[5, 7, 3, 9, 3]",7,3,3,105
0.24,64.61127471923828,24,42.93574905395508,38,"[5, 2, 3, 5, 2]","[2, 2, 7, 5, 5]",5,2,1,106
-0.6448731291294098,95.5079574584961,19,35.65521240234375,32,"[2, 3, 4, 4, 2]","[3, 5, 2, 4, 3]",3,1,4,107
0.39,259.65081787109375,15,40.69725036621094,33,"[2, 2, 2, 3, 6]","[1, 6, 1, 3, 7]",9,4,4,108
-0.8009511104226112,55.55900573730469,19,36.26209259033203,35,"[1, 5, 4, 4, 4]","[5, 4, 1, 5, 2]",7,3,3,109
