reward,loss,trades,avg_q,total_actions,backs_per_competitor,lays_per_competitor,most_common_action,most_common_competitor,winner,simulation
0.246131615,54.46827316,23,34.1307869,32,"[5, 4, 3, 1, 5]","[2, 4, 2, 4, 2]",0,0,0,4263
0.485,135.8803406,18,41.7665062,40,"[4, 2, 4, 4, 6]","[4, 3, 4, 2, 7]",9,4,3,4264
0.135,132.3427582,18,51.46895599,37,"[2, 6, 0, 4, 4]","[5, 2, 4, 6, 4]",2,1,3,4265
0.485,253.1136932,15,51.44351196,36,"[2, 4, 1, 4, 4]","[3, 3, 6, 5, 4]",5,2,4,4266
6.74,75.28443146,19,55.46489716,40,"[3, 4, 4, 5, 3]","[9, 1, 6, 2, 3]",1,0,1,4267
0.00779196,315.5834961,19,48.36499786,39,"[7, 3, 3, 5, 5]","[6, 3, 1, 3, 3]",0,0,4,4268
0.635,302.0911865,24,42.72225189,36,"[1, 6, 4, 5, 2]","[1, 6, 3, 4, 4]",2,1,3,4269
0.569988283,77.48295593,18,43.63106155,34,"[2, 1, 2, 7, 2]","[4, 3, 4, 3, 6]",6,3,4,4270
0.38,252.6333923,13,48.40445709,42,"[3, 3, 9, 4, 3]","[5, 4, 7, 3, 1]",4,2,3,4271
0.665,307.5759583,14,45.88684082,35,"[3, 4, 5, 5, 1]","[4, 4, 3, 0, 6]",9,4,0,4272
-0.79,90.94851685,20,39.27732086,34,"[4, 4, 3, 4, 5]","[1, 3, 2, 5, 3]",8,4,1,4273
-0.355,247.2954407,24,37.36973953,39,"[5, 4, 3, 7, 1]","[1, 5, 4, 8, 1]",7,3,1,4274
0.44,55.3985672,17,33.08346939,40,"[7, 4, 4, 1, 3]","[4, 4, 5, 4, 4]",0,0,3,4275
2.645,154.11203,23,41.48448563,39,"[6, 4, 5, 2, 4]","[1, 4, 4, 4, 5]",0,0,0,4276
0.36526592,158.2925568,25,45.31248474,37,"[0, 2, 5, 3, 5]","[1, 6, 3, 5, 7]",9,4,4,4277
0.079467472,370.1065369,23,43.25793457,41,"[4, 4, 4, 5, 6]","[2, 4, 2, 6, 4]",8,4,4,4278
-0.165,64.79026794,19,39.16149139,37,"[8, 1, 5, 3, 8]","[3, 2, 2, 0, 5]",0,0,4,4279
-6.16,49.91823578,13,27.77746201,41,"[4, 1, 4, 5, 4]","[2, 3, 6, 7, 5]",7,3,1,4280
-0.4275,924.4397583,18,26.39352798,28,"[0, 5, 2, 2, 1]","[4, 4, 2, 1, 7]",9,4,4,4281
-1.241419661,54.96190262,21,41.73184967,37,"[1, 3, 2, 4, 3]","[4, 2, 6, 9, 3]",7,3,3,4282
0.575,165.7833557,12,43.64431,38,"[3, 5, 3, 1, 4]","[7, 6, 3, 2, 4]",1,0,2,4283
0.227719454,186.4244995,14,37.91625214,33,"[4, 4, 4, 5, 4]","[3, 5, 1, 3, 0]",6,3,3,4284
0.2,155.7672424,9,32.54101944,33,"[4, 1, 1, 4, 2]","[5, 6, 1, 4, 5]",3,1,2,4285
-0.753565311,44.50632095,23,39.67213058,38,"[4, 7, 4, 6, 5]","[2, 2, 4, 1, 3]",2,1,0,4286
1.455,48.79154587,22,45.44869232,39,"[2, 2, 1, 6, 5]","[10, 3, 5, 2, 3]",1,0,3,4287
-2.23,156.3953857,15,31.65060425,36,"[4, 4, 0, 7, 2]","[1, 5, 4, 4, 5]",6,3,1,4288
-0.16,164.249939,23,34.59080887,39,"[3, 5, 2, 1, 5]","[4, 5, 4, 6, 4]",7,3,2,4289
0.33,44.7482338,25,28.52351952,38,"[3, 4, 5, 6, 2]","[3, 5, 2, 4, 4]",6,3,1,4290
-0.360224625,69.43753815,26,27.60268593,41,"[5, 2, 3, 5, 3]","[4, 6, 4, 4, 5]",3,1,3,4291
-0.638956504,26.45928192,23,31.08852196,36,"[2, 7, 3, 5, 2]","[0, 4, 5, 3, 5]",2,1,4,4292
2.427714889,18.53928185,30,30.88159752,42,"[4, 5, 3, 7, 3]","[4, 5, 4, 4, 3]",6,3,0,4293
0.59,589.868042,19,38.03118896,36,"[3, 4, 7, 4, 2]","[3, 7, 3, 2, 1]",4,2,3,4294
0.41,112.9864426,17,33.98772049,38,"[6, 1, 7, 4, 2]","[4, 3, 3, 5, 3]",4,2,4,4295
-0.25,59.39561462,18,26.01164818,36,"[1, 6, 7, 0, 6]","[2, 1, 4, 7, 2]",4,2,1,4296
